label,estado_animo
negativo,Vulnerable
negativo,Frustrado
negativo,Avergonzado
negativo,Tengo muchas dudas
negativo,Me siento agotado
negativo,Ansioso
negativo,Siento una profunda tristeza
negativo,Pesimista
negativo,Temeroso
negativo,Enfadado
negativo,Desesperado
negativo,Arrepentido
negativo,No encuentro consuelo
negativo,Desilusionado
negativo,Preocupado
negativo,Triste
negativo,Humillado
negativo,Me siento incomprendido
negativo,Solo
negativo,Siento una gran soledad
negativo,Deprimido
negativo,Es difícil lidiar con esto
negativo,Dolido
negativo,Tenso
negativo,Indignado
negativo,Estresado
negativo,Amargado
negativo,Desesperanzado
negativo,Desmotivado
negativo,Nada parece ir bien
negativo,Rencoroso
negativo,Melancólico
negativo,Nada me sale bien
positivo,Piola
positivo,Re copado
positivo,Chocho
positivo,Con toda la polenta
positivo,Estoy al taco
positivo,De diez
positivo,Estoy hecho un bacán
positivo,Para tirar manteca al techo
positivo,Estar al palo
neutro,Tranca
neutro,En la mía
neutro,Ahí nomás
neutro,Tranqui
neutro,Todo piola
neutro,Sigue la corriente
neutro,Sin hacer mucha bulla
neutro,Todo normal
neutro,En mi mambo
negativo,Hecho bolsa
negativo,Re bajón
negativo,Para atrás
negativo,Embajonado
negativo,Depre
negativo,No doy pie con bola
negativo,Para el cachetazo
negativo,Al horno
negativo,Hecho pelota
negativo,De caída libre
positivo,Estoy en la gloria
positivo,Recontra feliz
positivo,Radiante de alegría
positivo,Como pez en el agua
positivo,En mi salsa
positivo,Con un subidón de energía
positivo,Estoy re pila
positivo,Brotando de entusiasmo
positivo,Iluminado
positivo,Siento mariposas
positivo,Positivo a tope
positivo,Arriba como nunca
positivo,Como en un sueño
positivo,Con el corazón lleno
positivo,Inspiración total
positivo,Todo me sonríe
positivo,Pleno de confianza
positivo,Ampliamente satisfecho
positivo,Espectacularmente bien
neutro,En paz y tranquilo
neutro,Día a día
neutro,Típico día de rutina
neutro,En equilibrio
neutro,De mente abierta
neutro,Sin altibajos
neutro,Todo está estable
neutro,Un poco en el limbo
neutro,Analizando cosas
neutro,En piloto automático
neutro,Nada relevante
neutro,Cuerpo presente
neutro,Una jornada cualquiera
neutro,Sin presión
neutro,Como de costumbre
neutro,Atento a lo que viene
neutro,Sin mucho cambio
neutro,Me siento regular
neutro,Pasando el rato
neutro,En pausa
negativo,Sin rumbo
negativo,Atrapado en el bajón
negativo,Con la moral baja
negativo,Como un zombie
negativo,Golpeado por la vida
negativo,Arrastrando los pies
negativo,Desalentado
negativo,Siento una carga
negativo,Nublado y perdido
negativo,Con el ánimo roto
negativo,Desganado
negativo,Apesadumbrado
negativo,Con el pecho pesado
negativo,En una espiral
negativo,Es un día negro
negativo,Patas arriba
negativo,Siento un vacío
negativo,Todo en declive
negativo,Un peso encima
negativo,Un saco de preocupaciones
negativo,Inseguro
neutro,Relajado
negativo,Cansado
